terme;categorie;registre;definition;contexte;occurrences;source
hécatombe;mot;soutenu;Massacre ou destruction d’un grand nombre de personnes ou d’animaux.;HÉCATOMBE;2;CNRTL – TLFi
impénitent;mot;soutenu;Qui persiste dans une habitude ou un défaut sans se corriger.;Histoire d'endormir le temps, Calculateur impénitent, De tout brouiller, tout embrouiller, Dans le fatidique sablier;1;CNRTL – TLFi
jouvenceau;mot;littéraire / vieilli;Jeune homme, garçon dans la fleur de la jeunesse.;Depuis que je commence à faire de vieux os, Avide de conseils, souvent un jouvenceau;1;CNRTL – TLFi
lanturlurette;expression;vieilli / populaire;Refrain ou formule de fantaisie, notamment dans « lanturlu, lanturlurette ».;Si le Bon Dieu l'avait voulu - Lanturlurette, Lanturlu, J'aurais connu la Cléopâtre, Et je ne t'aurais pas connue.;1;CNRTL – TLFi
malencontreux;mot;soutenu / littéraire;"Qui arrive de manière fâcheuse, inopportune ou malheureuse ; qui porte malheur selon le contexte.";Alors que tant de fleurs ont des noms poétiques, Tendre corps féminin c'est fort malencontreux;1;CNRTL – TLFi
mandragore;mot;botanique / mythologie;Plante herbacée méditerranéenne de la famille des Solanacées, entourée de croyances magiques.;En arrosant la mandragore, L'herbe aux pendus qui revigore,;2;CNRTL – TLFi
naturalibus;locution;vieilli / plaisant;Dans l’expression « in naturalibus » : nu, sans vêtements.;Qui'est-ce qui veut m'laisser faire, in naturalibus, Un p'tit peu d'alpinisme sur son mont de Vénus;1;CNRTL – TLFi
onques;adverbe;ancien / littéraire;"Jamais ; à aucun moment.";Elle a fait son devoir, C'est-à-dire que Onques;1;CNRTL – TLFi
parbleu;interjection;vieilli;Juron exprimant l’affirmation, la surprise ou l’étonnement.;Ainsi, parbleu, que les jarnibleus, Et les palsambleus;4;CNRTL – TLFi
patibulaire;mot;soutenu / vieilli;Qui évoque le gibet ou, figurément, qui a une apparence inquiétante, suspecte ou sinistre.;Je serais mort, jambes en l'air, Sur la veuve patibulaire,;1;CNRTL – TLFi
pavois;mot;histoire / ancien;"Grand bouclier ; dans certaines expressions historiques, bouclier sur lequel on élevait un chef élu.";Tout à coup, l'armada sauvage, déferla sur notre rivage, avec ses lances, ses pavois;1;CNRTL – TLFi
peuchère;interjection;régional / populaire;Exclamation exprimant la pitié, la compassion ou l’attendrissement, notamment dans le Midi.;La légère, Fleur, peuchère, Ne vient pas,;7;CNRTL – TLFi
pécore;mot;familier / péjoratif;"Femme ou fille sotte, niaise ou ignorante ; parfois simple terme de mépris.";Fils de pécore et de minus, Ris par de la pauvre Vénus;2;CNRTL – TLFi
pétaud;mot;vieilli;Dans « royaume de Pétaud » : lieu ou situation où règnent le désordre et l’anarchie.;Quand tous les rois Pétaud crient « Vive la république », Que « Mort aux vaches » même est un slogan de flic,;1;CNRTL – TLFi
quadrumane;mot;zoologie / ancien;"Qui a quatre mains ; ancien terme pour désigner les singes, aujourd’hui désuet en zoologie.";Voyant que toutes se dérobe, Le quadrumane accéléra,;1;CNRTL – TLFi
rapine;mot;soutenu;"Vol commis avec violence ou par pillage ; action de s’approprier ce qui appartient à autrui.";Pour commettre force rapine, et même enlever nos sabines, plus belles que les leurs ma foi;1;CNRTL – TLFi
rustre;mot;péjoratif;Personne grossière, rude, sans manières.;Mufle achevé, Rustre fieffé, Un homme du commun.;1;CNRTL – TLFi
sabbat;mot;religion / histoire;"Repos hebdomadaire prescrit par la loi juive ; dans « sabbat des sorcières », assemblée imaginaire de sorciers.";De nonnettes, De cornettes, En sabbat,;2;CNRTL – TLFi
satisfecit;mot;soutenu;Marque d’approbation ou témoignage de satisfaction accordé à quelqu’un.;Au contraire, je la révère, Et lui donne un satisfecit;1;CNRTL – TLFi
soûlaud;mot;familier / péjoratif;"Personne qui boit beaucoup et habituellement ; ivrogne.";Un plus soûlaud que moi, contre une pièce de cent sous, M'avait vendu sa femme;2;CNRTL – TLFi
succube;mot;mythologie;Démon femelle supposé séduire les hommes pendant leur sommeil.;Malheureusement c'est un chameau, Un succube, tranchons le mot, Un succube, tranchons le mot.;1;CNRTL – TLFi
susdite;adjectif;juridique / soutenu / vieilli;Qui a été précédemment mentionnée ou désignée.;Un vingt-e-deux septembre au diable vous partîtes, Et, depuis, chaque année, à la date susdite,;1;CNRTL – TLFi
sérail;mot;historique / figuré;"Palais ou partie du palais du sultan ; par extension, entourage fermé ou groupe de personnes autour d’un personnage.";Je vais grossir les rangs, des muets du sérail, Les belles ne viendront plus se pendre à mon poitrail;1;CNRTL – TLFi
tarentelle;mot;danse / musique;Danse populaire italienne très vive, accompagnée d’une musique au rythme rapide.;Il suffit de trois petits bonds, C'est tout de suite la tarentelle,;3;CNRTL – TLFi
tonsure;mot;religion / histoire;"Rite consistant à couper les cheveux d’un religieux ou d’un clerc ; par extension, coupe de cheveux correspondante.";Chantant la mélopée d'une voix qui susurre, Tandis qu'elle lui cherchait des poux dans la tonsure;1;CNRTL – TLFi
trogne;mot;familier;Visage, figure, souvent avec une nuance moqueuse ou péjorative.;Un tas de génies titubants, Au nez rouge, à la rouge trogne.;1;CNRTL – TLFi
turlupin;mot;familier / ancien;"Personne qui plaisante, raille ou cherche à faire rire ; bouffon.";Mais, aujourd'hui que mon gagne-pain, C'est d'parler comme un turlupin;1;CNRTL – TLFi
veinard;mot;familier;Qui a de la chance, qui bénéficie d’un heureux hasard.;On ne verra jamais la corne au front du Christ, Le veinard sur sa croix peut s'endormir en paix,;1;CNRTL – TLFi
véniel;mot;soutenu / religion;"Qui peut être pardonné ; en théologie catholique, qualifie un péché considéré comme moins grave que le péché mortel.";C'est la faute commune et le péché véniel,;1;CNRTL – TLFi
ça va de soi;expression;courant;Cela est évident, cela ne nécessite pas d’explication.;Tout le monde médit de moi, Sauf les muets, ça va de soi.;4;Expression idiomatique
